cusip,options,issuer,description,status
12642X 90 6,,CTC MEDIA INC,CALL,
12642X 95 6,,CTC MEDIA INC,PUT,
12646R 10 5,*,CST BRANDS INC,COM,
12646R 90 5,,CST BRANDS INC,CALL,
12646R 95 5,,CST BRANDS INC,PUT,
12648L 10 6,*,CTI BIOPHARMA CORP,COM,
12648L 90 6,,CTI BIOPHARMA CORP,CALL,
12648L 95 6,,CTI BIOPHARMA CORP,PUT,
126501 10 5,*,CTS CORP,COM,
126501 90 5,,CTS CORP,CALL,
126501 95 5,,CTS CORP,PUT,
126534 10 6,,CU BANCORP CALIF,COM,
126576 20 6,*,CUI GLOBAL INC,COM NEW,
126576 90 6,,CUI GLOBAL INC,CALL,
126576 95 6,,CUI GLOBAL INC,PUT,
126600 10 5,*,CVB FINL CORP,COM,
126600 90 5,,CVB FINL CORP,CALL,
126600 95 5,,CVB FINL CORP,PUT,
126601 10 3,,CVD EQUIPMENT CORP,COM,
12662P 10 8,*,CVR ENERGY INC,COM,
12662P 90 8,,CVR ENERGY INC,CALL,
12662P 95 8,,CVR ENERGY INC,PUT,
12663P 10 7,*,CVR REFNG LP,COMUNIT REP LT,
12663P 90 7,,CVR REFNG LP,CALL,
12663P 95 7,,CVR REFNG LP,PUT,
126633 10 6,*,CVR PARTNERS LP,COM,
126633 90 6,,CVR PARTNERS LP,CALL,
126633 95 6,,CVR PARTNERS LP,PUT,
126650 10 0,*,CVS HEALTH CORP,COM,
126650 90 0,,CVS HEALTH CORP,CALL,
126650 95 0,,CVS HEALTH CORP,PUT,
12673A 10 8,*,CYS INVTS INC,COM,
12673A 90 8,,CYS INVTS INC,CALL,
12673A 95 8,,CYS INVTS INC,PUT,
12673P 10 5,*,CA INC,COM,
12673P 90 5,,CA INC,CALL,
12673P 95 5,,CA INC,PUT,
126804 30 1,*,CABELAS INC,COM,
126804 90 1,,CABELAS INC,CALL,
126804 95 1,,CABELAS INC,PUT,
12686C 10 9,*,CABLEVISION SYS CORP,CL A NY CABLVS,
12686C 90 9,,CABLEVISION SYS CORP,CALL,
12686C 95 9,,CABLEVISION SYS CORP,PUT,
127055 10 1,*,CABOT CORP,COM,
127055 90 1,,CABOT CORP,CALL,
127055 95 1,,CABOT CORP,PUT,
12709P 10 3,*,CABOT MICROELECTRONICS CORP,COM,
12709P 90 3,,CABOT MICROELECTRONICS CORP,CALL,
12709P 95 3,,CABOT MICROELECTRONICS CORP,PUT,
127097 10 3,*,CABOT OIL & GAS CORP,COM,
127097 90 3,,CABOT OIL & GAS CORP,CALL,
127097 95 3,,CABOT OIL & GAS CORP,PUT,
127150 30 8,*,CACHE INC,COM NEW,
127150 90 8,,CACHE INC,CALL,
127150 95 8,,CACHE INC,PUT,
127190 30 4,*,CACI INTL INC,CL A,
127190 90 4,,CACI INTL INC,CALL,
127190 95 4,,CACI INTL INC,PUT,
127387 AJ 7,,CADENCE DESIGN SYSTEM INC,NOTE  2.625% 6/0,
127387 10 8,*,CADENCE DESIGN SYSTEM INC,COM,
127387 90 8,,CADENCE DESIGN SYSTEM INC,CALL,
127387 95 8,,CADENCE DESIGN SYSTEM INC,PUT,
127537 20 7,*,CADIZ INC,COM NEW,
127537 90 7,,CADIZ INC,CALL,
127537 95 7,,CADIZ INC,PUT,
12768T 10 3,*,CAESARS ACQUISITION CO,CL A,
12768T 90 3,,CAESARS ACQUISITION CO,CALL,
12768T 95 3,,CAESARS ACQUISITION CO,PUT,
127686 10 3,*,CAESARS ENTMT CORP,COM,
127686 90 3,,CAESARS ENTMT CORP,CALL,
127686 95 3,,CAESARS ENTMT CORP,PUT,
12769A 10 3,*,CAFEPRESS INC,COM,
12769A 90 3,,CAFEPRESS INC,CALL,
12769A 95 3,,CAFEPRESS INC,PUT,
12802T AB 7,,CAL DIVE INTL INC DEL,NOTE  5.000% 7/1,
12802T 10 1,*,CAL DIVE INTL INC DEL,COM,
12802T 90 1,,CAL DIVE INTL INC DEL,CALL,
12802T 95 1,,CAL DIVE INTL INC DEL,PUT,
128030 20 2,*,CAL MAINE FOODS INC,COM NEW,
128030 90 2,,CAL MAINE FOODS INC,CALL,
128030 95 2,,CAL MAINE FOODS INC,PUT,
12811L 10 7,,CALAMOS GBL DYN INCOME FUND,COM,
12811P 10 8,,CALAMOS CONV & HIGH INCOME F,COM SHS,
12811R 10 4,*,CALAMOS ASSET MGMT INC,CL A,
12811R 90 4,,CALAMOS ASSET MGMT INC,CALL,
12811R 95 4,,CALAMOS ASSET MGMT INC,PUT,
12811T 10 0,,CALAMOS ETF TR,FOCUS GROWTH,ADDED
128117 10 8,,CALAMOS CONV OPP AND INC FD,SH BEN INT,
128118 10 6,,CALAMOS GLOBAL TOTAL RETURN,COM SH BEN INT,
128125 10 1,,CALAMOS STRATEGIC TOTL RETN,COM SH BEN INT,
128126 10 9,*,CALAMP CORP,COM,
128126 90 9,,CALAMP CORP,CALL,
128126 95 9,,CALAMP CORP,PUT,
128246 10 5,*,CALAVO GROWERS INC,COM,
128246 90 5,,CALAVO GROWERS INC,CALL,
128246 95 5,,CALAVO GROWERS INC,PUT,
129603 10 6,*,CALGON CARBON CORP,COM,
129603 90 6,,CALGON CARBON CORP,CALL,
129603 95 6,,CALGON CARBON CORP,PUT,
130222 10 2,,CALIFORNIA FIRST NTNL BANCOR,COM,
130788 10 2,*,CALIFORNIA WTR SVC GROUP,COM,
130788 90 2,,CALIFORNIA WTR SVC GROUP,CALL,
130788 95 2,,CALIFORNIA WTR SVC GROUP,PUT,
13100M 50 9,*,CALIX INC,COM,
13100M 90 9,,CALIX INC,CALL,
13100M 95 9,,CALIX INC,PUT,
131193 AC 8,,CALLAWAY GOLF CO,NOTE  3.750% 8/1,
131193 10 4,*,CALLAWAY GOLF CO,COM,
131193 90 4,,CALLAWAY GOLF CO,CALL,
131193 95 4,,CALLAWAY GOLF CO,PUT,
13123E AB 0,,CALLIDUS SOFTWARE INC,NOTE  4.750% 6/0,DELETED
13123E 50 0,*,CALLIDUS SOFTWARE INC,COM,
13123E 90 0,,CALLIDUS SOFTWARE INC,CALL,
13123E 95 0,,CALLIDUS SOFTWARE INC,PUT,
13123X 10 2,*,CALLON PETE CO DEL,COM,
13123X 90 2,,CALLON PETE CO DEL,CALL,
13123X 95 2,,CALLON PETE CO DEL,PUT,
131347 30 4,*,CALPINE CORP,COM NEW,
131347 90 4,,CALPINE CORP,CALL,
131347 95 4,,CALPINE CORP,PUT,
131476 10 3,*,CALUMET SPECIALTY PRODS PTNR,UT LTD PARTNER,
131476 90 3,,CALUMET SPECIALTY PRODS PTNR,CALL,
131476 95 3,,CALUMET SPECIALTY PRODS PTNR,PUT,
131745 10 1,*,CAMAC ENERGY INC,COM,
131745 90 1,,CAMAC ENERGY INC,CALL,
131745 95 1,,CAMAC ENERGY INC,PUT,
13201A 10 7,,CAMBIUM LEARNING GRP INC,COM,
132011 10 7,*,CAMBREX CORP,COM,
132011 90 7,,CAMBREX CORP,CALL,
132011 95 7,,CAMBREX CORP,PUT,
132061 20 1,,CAMBRIA ETF TR,SHSHLD YIELD ETF,
132061 30 0,,CAMBRIA ETF TR,CAMBRIA FGN SHR,
132061 40 9,,CAMBRIA ETF TR,GLOBAL VALUE ETF,
13215Q 10 6,,CAMBRIDGE CAP ACQUISITION CO,COM,
13215Q 11 4,,CAMBRIDGE CAP ACQUISITION CO,*W EXP 12/17/201,
13215Q 20 5,,CAMBRIDGE CAP ACQUISITION CO,UNIT 03/17/2014,
133034 10 8,,CAMDEN NATL CORP,COM,
133131 10 2,*,CAMDEN PPTY TR,SH BEN INT,
133131 90 2,,CAMDEN PPTY TR,CALL,
133131 95 2,,CAMDEN PPTY TR,PUT,
13321L 10 8,*,CAMECO CORP,COM,
13321L 90 8,,CAMECO CORP,CALL,
13321L 95 8,,CAMECO CORP,PUT,
13342B 10 5,*,CAMERON INTERNATIONAL CORP,COM,
13342B 90 5,,CAMERON INTERNATIONAL CORP,CALL,
13342B 95 5,,CAMERON INTERNATIONAL CORP,PUT,
134429 10 9,*,CAMPBELL SOUP CO,COM,
134429 90 9,,CAMPBELL SOUP CO,CALL,
134429 95 9,,CAMPBELL SOUP CO,PUT,
13466Y 10 5,*,CAMPUS CREST CMNTYS INC,COM,
13466Y 90 5,,CAMPUS CREST CMNTYS INC,CALL,
13466Y 95 5,,CAMPUS CREST CMNTYS INC,PUT,
13471N 10 2,,CAN-FITE BIOPHARMA LTD,SPONSORED ADR,
136069 10 1,*,CDN IMPERIAL BK COMM TORONTO,COM,
136069 90 1,,CDN IMPERIAL BK COMM TORONTO,CALL,
136069 95 1,,CDN IMPERIAL BK COMM TORONTO,PUT,
136375 10 2,*,CANADIAN NATL RY CO,COM,
136375 90 2,,CANADIAN NATL RY CO,CALL,
136375 95 2,,CANADIAN NATL RY CO,PUT,
136385 10 1,*,CANADIAN NAT RES LTD,COM,
136385 90 1,,CANADIAN NAT RES LTD,CALL,
136385 95 1,,CANADIAN NAT RES LTD,PUT,
13645T 10 0,*,CANADIAN PAC RY LTD,COM,
13645T 90 0,,CANADIAN PAC RY LTD,CALL,
13645T 95 0,,CANADIAN PAC RY LTD,PUT,
136635 10 9,*,CANADIAN SOLAR INC,COM,
136635 90 9,,CANADIAN SOLAR INC,CALL,
136635 95 9,,CANADIAN SOLAR INC,PUT,
13739U 10 4,*,CANCER GENETICS INC,COM,
13739U 90 4,,CANCER GENETICS INC,CALL,
13739U 95 4,,CANCER GENETICS INC,PUT,
138006 30 9,*,CANON INC,SPONSORED ADR,
138006 90 9,,CANON INC,CALL,
138006 95 9,,CANON INC,PUT,
138098 10 8,*,CANTEL MEDICAL CORP,COM,
138098 90 8,,CANTEL MEDICAL CORP,CALL,
138098 95 8,,CANTEL MEDICAL CORP,PUT,
13811E 10 1,,CANTERBURY PARK HOLDING CORP,COM,
139209 10 0,,CAPE BANCORP INC,COM,
139594 10 5,*,CAPELLA EDUCATION COMPANY,COM,
139594 90 5,,CAPELLA EDUCATION COMPANY,CALL,
139594 95 5,,CAPELLA EDUCATION COMPANY,PUT,
139674 10 5,,CAPITAL CITY BK GROUP INC,COM,
139794 10 1,*,CAPITAL BK FINL CORP,CL A COM,
139794 90 1,,CAPITAL BK FINL CORP,CALL,
139794 95 1,,CAPITAL BK FINL CORP,PUT,
14040H 10 5,*,CAPITAL ONE FINL CORP,COM,
14040H 90 5,,CAPITAL ONE FINL CORP,CALL,
14040H 95 5,,CAPITAL ONE FINL CORP,PUT,
14040H 13 9,,CAPITAL ONE FINL CORP,*W EXP 11/14/201,
140475 10 4,*,CAPITAL SR LIVING CORP,COM,
140475 90 4,,CAPITAL SR LIVING CORP,CALL,
140475 95 4,,CAPITAL SR LIVING CORP,PUT,
140501 10 7,,CAPITAL SOUTHWEST CORP,COM,
14054R 10 6,,CAPITALA FIN CORP,COM,
14056V 10 5,,CAPITOL ACQUISITION CORP II,COM,
14056V 11 3,,CAPITOL ACQUISITION CORP II,*W EXP 05/15/201,
14056V 20 4,,CAPITOL ACQUISITION CORP II,UNIT 99/99/9999,
14057J 10 1,*,CAPITOL FED FINL INC,COM,
14057J 90 1,,CAPITOL FED FINL INC,CALL,
14057J 95 1,,CAPITOL FED FINL INC,PUT,
14067D 10 2,*,CAPSTONE TURBINE CORP,COM,
14067D 90 2,,CAPSTONE TURBINE CORP,CALL,
14067D 95 2,,CAPSTONE TURBINE CORP,PUT,
14067E 50 6,*,CAPSTEAD MTG CORP,COM NO PAR,
14067E 90 6,,CAPSTEAD MTG CORP,CALL,
14067E 95 6,,CAPSTEAD MTG CORP,PUT,
140755 10 9,,CARA THERAPEUTICS INC,COM,
140781 10 5,*,CARBO CERAMICS INC,COM,
140781 90 5,,CARBO CERAMICS INC,CALL,
140781 95 5,,CARBO CERAMICS INC,PUT,
141337 10 5,*,CARBONITE INC,COM,
141337 90 5,,CARBONITE INC,CALL,
141337 95 5,,CARBONITE INC,PUT,
14141R 10 1,*,CARDICA INC,COM,
14141R 90 1,,CARDICA INC,CALL,
14141R 95 1,,CARDICA INC,PUT,
14149F 10 9,*,CARDINAL FINL CORP,COM,
14149F 90 9,,CARDINAL FINL CORP,CALL,
14149F 95 9,,CARDINAL FINL CORP,PUT,
14149Y 10 8,*,CARDINAL HEALTH INC,COM,
14149Y 90 8,,CARDINAL HEALTH INC,CALL,
14149Y 95 8,,CARDINAL HEALTH INC,PUT,
14159U 30 1,*,CARDIOME PHARMA CORP,COM NO PAR,
14159U 90 1,,CARDIOME PHARMA CORP,CALL,
14159U 95 1,,CARDIOME PHARMA CORP,PUT,
14161H 10 8,*,CARDTRONICS INC,COM,
14161H 90 8,,CARDTRONICS INC,CALL,
14161H 95 8,,CARDTRONICS INC,PUT,
141619 10 6,*,CARDIOVASCULAR SYS INC DEL,COM,
141619 90 6,,CARDIOVASCULAR SYS INC DEL,CALL,
141619 95 6,,CARDIOVASCULAR SYS INC DEL,PUT,
141633 10 7,*,CARE COM INC,COM,
141633 90 7,,CARE COM INC,CALL,
141633 95 7,,CARE COM INC,PUT,
141665 10 9,*,CAREER EDUCATION CORP,COM,
141665 90 9,,CAREER EDUCATION CORP,CALL,
141665 95 9,,CAREER EDUCATION CORP,PUT,
14167L 10 3,,CAREDX INC,COM,ADDED
14170T 10 1,*,CAREFUSION CORP,COM,
14170T 90 1,,CAREFUSION CORP,CALL,
14170T 95 1,,CAREFUSION CORP,PUT,
14174T 10 7,,CARETRUST REIT INC,COM,
142339 10 0,*,CARLISLE COS INC,COM,
142339 90 0,,CARLISLE COS INC,CALL,
142339 95 0,,CARLISLE COS INC,PUT,
14309L 10 2,*,CARLYLE GROUP L P,COM UTS LTD PTN,
14309L 90 2,,CARLYLE GROUP L P,CALL,
14309L 95 2,,CARLYLE GROUP L P,PUT,
143130 10 2,*,CARMAX INC,COM,
143130 90 2,,CARMAX INC,CALL,
143130 95 2,,CARMAX INC,PUT,
143436 40 0,*,CARMIKE CINEMAS INC,COM,
143436 90 0,,CARMIKE CINEMAS INC,CALL,
143436 95 0,,CARMIKE CINEMAS INC,PUT,
14365C 10 3,*,CARNIVAL PLC,ADR,
14365C 90 3,,CARNIVAL PLC,CALL,
14365C 95 3,,CARNIVAL PLC,PUT,
143658 30 0,*,CARNIVAL CORP,PAIRED CTF,
143658 90 0,,CARNIVAL CORP,CALL,
143658 95 0,,CARNIVAL CORP,PUT,
143785 10 3,,CAROLINA BK HLDGS INC GREENS,COM,
143873 10 7,,CAROLINA FINL CORP NEW,COM,ADDED
143905 10 7,*,CARRIAGE SVCS INC,COM,
143905 90 7,,CARRIAGE SVCS INC,CALL,
143905 95 7,,CARRIAGE SVCS INC,PUT,
144200 10 2,,CAROLINA TR BK LINCOLNTON NC,COM,
144285 10 3,*,CARPENTER TECHNOLOGY CORP,COM,
144285 90 3,,CARPENTER TECHNOLOGY CORP,CALL,
144285 95 3,,CARPENTER TECHNOLOGY CORP,PUT,
144577 10 3,*,CARRIZO OIL & GAS INC,COM,
144577 90 3,,CARRIZO OIL & GAS INC,CALL,
144577 95 3,,CARRIZO OIL & GAS INC,PUT,
14574X 10 4,*,CARROLS RESTAURANT GROUP INC,COM,
14574X 90 4,,CARROLS RESTAURANT GROUP INC,CALL,
14574X 95 4,,CARROLS RESTAURANT GROUP INC,PUT,
146229 10 9,*,CARTER INC,COM,
146229 90 9,,CARTER INC,CALL,
146229 95 9,,CARTER INC,PUT,
146534 10 2,,CARTESIAN INC,COM,ADDED
146875 60 4,,CARVER BANCORP INC,COM NEW,
147154 20 7,*,CASCADE BANCORP,COM NEW,
147154 90 7,,CASCADE BANCORP,CALL,
147154 95 7,,CASCADE BANCORP,PUT,
147322 10 1,,CASCADE MICROTECH INC,COM,
147448 10 4,*,CASELLA WASTE SYS INC,CL A,
147448 90 4,,CASELLA WASTE SYS INC,CALL,
147448 95 4,,CASELLA WASTE SYS INC,PUT,
147528 10 3,*,CASEYS GEN STORES INC,COM,
147528 90 3,,CASEYS GEN STORES INC,CALL,
147528 95 3,,CASEYS GEN STORES INC,PUT,
14754D 10 0,*,CASH AMER INTL INC,COM,
14754D 90 0,,CASH AMER INTL INC,CALL,
14754D 95 0,,CASH AMER INTL INC,PUT,
14757U 10 9,,CASI PHARMACEUTICALS INC,COM,ADDED
14808P 10 9,,CASS INFORMATION SYS INC,COM,
148411 AF 8,,CASTLE A M & CO,NOTE  7.000%12/1,
148411 10 1,*,CASTLE A M & CO,COM,
148411 90 1,,CASTLE A M & CO,CALL,
148411 95 1,,CASTLE A M & CO,PUT,
148435 10 0,,CASTLE BRANDS INC,COM,
14862Q 10 0,*,CASTLIGHT HEALTH INC,CL B,
14862Q 90 0,,CASTLIGHT HEALTH INC,CALL,
14862Q 95 0,,CASTLIGHT HEALTH INC,PUT,
148806 10 2,*,CATALENT INC,COM,ADDED
148806 90 2,,CATALENT INC,CALL,ADDED
148806 95 2,,CATALENT INC,PUT,ADDED
14888U 10 1,*,CATALYST PHARM PARTNERS INC,COM,
14888U 90 1,,CATALYST PHARM PARTNERS INC,CALL,
14888U 95 1,,CATALYST PHARM PARTNERS INC,PUT,
148887 10 2,*,CATAMARAN CORP,COM,
148887 90 2,,CATAMARAN CORP,CALL,
148887 95 2,,CATAMARAN CORP,PUT,
14912Y 20 2,*,CATCHMARK TIMBER TR INC,CL A,
14912Y 90 2,,CATCHMARK TIMBER TR INC,CALL,
14912Y 95 2,,CATCHMARK TIMBER TR INC,PUT,
149123 10 1,*,CATERPILLAR INC DEL,COM,
149123 90 1,,CATERPILLAR INC DEL,CALL,
149123 95 1,,CATERPILLAR INC DEL,PUT,
149150 10 4,*,CATHAY GEN BANCORP,COM,
149150 90 4,,CATHAY GEN BANCORP,CALL,
149150 95 4,,CATHAY GEN BANCORP,PUT,
149150 11 2,,CATHAY GEN BANCORP,*W EXP 12/05/201,
149205 10 6,*,CATO CORP NEW,CL A,
149205 90 6,,CATO CORP NEW,CALL,
149205 95 6,,CATO CORP NEW,PUT,
149568 10 7,,CAVCO INDS INC DEL,COM,
14964U 10 8,*,CAVIUM INC,COM,
14964U 90 8,,CAVIUM INC,CALL,
14964U 95 8,,CAVIUM INC,PUT,
149847 10 5,*,CBEYOND INC,COM,DELETED
149847 90 5,,CBEYOND INC,CALL,DELETED
149847 95 5,,CBEYOND INC,PUT,DELETED
14987J 10 6,*,CBS OUTDOOR AMERS INC,COM,
14987J 90 6,,CBS OUTDOOR AMERS INC,CALL,
14987J 95 6,,CBS OUTDOOR AMERS INC,PUT,
150185 10 6,*,CEDAR FAIR L P,DEPOSITRY UNIT,
150185 90 6,,CEDAR FAIR L P,CALL,
150185 95 6,,CEDAR FAIR L P,PUT,
150602 20 9,*,CEDAR REALTY TRUST INC,COM NEW,
150602 90 9,,CEDAR REALTY TRUST INC,CALL,
150602 95 9,,CEDAR REALTY TRUST INC,PUT,
150837 17 7,,CEL SCI CORP,*W EXP 10/11/201,
150837 50 8,,CEL SCI CORP,COM PAR $0.01,
150838 10 0,*,CELADON GROUP INC,COM,
150838 90 0,,CELADON GROUP INC,CALL,
150838 95 0,,CELADON GROUP INC,PUT,
150870 10 3,*,CELANESE CORP DEL,COM SER A,
150870 90 3,,CELANESE CORP DEL,CALL,
150870 95 3,,CELANESE CORP DEL,PUT,
15089R 10 2,,CELATOR PHARMACEUTICALS INC,COM,
15101Q 10 8,*,CELESTICA INC,SUB VTG SHS,
15101Q 90 8,,CELESTICA INC,CALL,
15101Q 95 8,,CELESTICA INC,PUT,
151020 10 4,*,CELGENE CORP,COM,
151020 90 4,,CELGENE CORP,CALL,
151020 95 4,,CELGENE CORP,PUT,
151020 11 2,,CELGENE CORP,RIGHT 12/31/2030,
15117B 10 3,*,CELLDEX THERAPEUTICS INC NEW,COM,
15117B 90 3,,CELLDEX THERAPEUTICS INC NEW,CALL,
15117B 95 3,,CELLDEX THERAPEUTICS INC NEW,PUT,
15117E 10 7,,CELLADON CORP,COM,
15117F 11 2,,CELLECTAR BIOSCIENCES INC,*W EXP 08/19/201,ADDED
15117F 20 3,,CELLECTAR BIOSCIENCES INC,COM NEW,ADDED
15117N 40 4,*,CELSION CORPORATION,COM PAR $0.01,
15117N 90 4,,CELSION CORPORATION,CALL,
15117N 95 4,,CELSION CORPORATION,PUT,
15117P 10 2,,CELLULAR BIOMEDICINE GROUP I,COM NEW,ADDED
15117V 10 9,,CELLULAR DYNAMICS INTL INC,COM,
15119A 20 2,,CELSUS THERAPEUTICS PLC,SPONSORED ADR NE,
15126Q 10 9,,CEMENTOS PACASMAYO S A A,SPON ADR REP 5,
151290 AV 5,,CEMEX SAB DE CV,NOTE  4.875% 3/1,
151290 BB 8,,CEMEX SAB DE CV,NOTE  3.250% 3/1,
151290 BC 6,,CEMEX SAB DE CV,NOTE  3.750% 3/1,
151290 88 9,*,CEMEX SAB DE CV,SPON ADR NEW,
151290 90 9,,CEMEX SAB DE CV,CALL,
151290 95 9,,CEMEX SAB DE CV,PUT,
15130J 10 9,*,CEMPRA INC,COM,
15130J 90 9,,CEMPRA INC,CALL,
15130J 95 9,,CEMPRA INC,PUT,
15132H 10 1,,CENCOSUD S A,SPONSORED ADS,
15135B 10 1,*,CENTENE CORP DEL,COM,
15135B 90 1,,CENTENE CORP DEL,CALL,
15135B 95 1,,CENTENE CORP DEL,PUT,
15135U 10 9,*,CENOVUS ENERGY INC,COM,
15135U 90 9,,CENOVUS ENERGY INC,CALL,
15135U 95 9,,CENOVUS ENERGY INC,PUT,
151408 10 1,,CENTER BANCORP INC,COM,DELETED
151461 10 0,,CENTER COAST MLP & INFRSTR F,COM SHS,
15189T 10 7,*,CENTERPOINT ENERGY INC,COM,
15189T 90 7,,CENTERPOINT ENERGY INC,CALL,
15189T 95 7,,CENTERPOINT ENERGY INC,PUT,
15201P 10 9,*,CENTERSTATE BANKS INC,COM,
15201P 90 9,,CENTERSTATE BANKS INC,CALL,
15201P 95 9,,CENTERSTATE BANKS INC,PUT,
15234Q 10 8,*,CENTRAIS ELETRICAS BRASILEIR,SPON ADR PFD B,
15234Q 90 8,,CENTRAIS ELETRICAS BRASILEIR,CALL,
15234Q 95 8,,CENTRAIS ELETRICAS BRASILEIR,PUT,
15234Q 20 7,*,CENTRAIS ELETRICAS BRASILEIR,SPONSORED ADR,
15234Q 90 7,,CENTRAIS ELETRICAS BRASILEIR,CALL,
15234Q 95 7,,CENTRAIS ELETRICAS BRASILEIR,PUT,
153436 10 0,,CENTRAL EUR RUSS & TURK FD I,COM,
153443 AH 9,,CENTRAL EUROPEAN MEDIA,NOTE  5.000%11/1,
15346Q 20 2,,CENTRAL FED CORP,COM NEW,
153501 10 1,,CENTRAL FD CDA LTD,CL A,
153527 10 6,*,CENTRAL GARDEN & PET CO,COM,
153527 90 6,,CENTRAL GARDEN & PET CO,CALL,
153527 95 6,,CENTRAL GARDEN & PET CO,PUT,
153527 20 5,*,CENTRAL GARDEN & PET CO,CL A NON-VTG,
153527 90 5,,CENTRAL GARDEN & PET CO,CALL,
153527 95 5,,CENTRAL GARDEN & PET CO,PUT,
153546 10 6,,CENTRAL GOLDTRUST,TR UNIT,
154760 40 9,*,CENTRAL PAC FINL CORP,COM NEW,
154760 90 9,,CENTRAL PAC FINL CORP,CALL,
154760 95 9,,CENTRAL PAC FINL CORP,PUT,
155123 10 2,,CENTRAL SECS CORP,COM,
155685 10 0,,CENTRAL VALLEY CMNTY BANCORP,COM,
15643U 10 4,,CENTRUS ENERGY CORP,CL A,ADDED
156431 10 8,*,CENTURY ALUM CO,COM,
156431 90 8,,CENTURY ALUM CO,CALL,
156431 95 8,,CENTURY ALUM CO,PUT,
156432 10 6,,CENTURY BANCORP INC MASS,CL A NON VTG,
156492 10 0,*,CENTURY CASINOS INC,COM,
156492 90 0,,CENTURY CASINOS INC,CALL,
156492 95 0,,CENTURY CASINOS INC,PUT,
156504 30 0,,CENTURY CMNTYS INC,COM,ADDED
15670R 10 7,*,CEPHEID,COM,
15670R 90 7,,CEPHEID,CALL,
15670R 95 7,,CEPHEID,PUT,
15670S 10 5,*,CENVEO INC,COM,
15670S 90 5,,CENVEO INC,CALL,
15670S 95 5,,CENVEO INC,PUT,
156700 10 6,*,CENTURYLINK INC,COM,
156700 90 6,,CENTURYLINK INC,CALL,
156700 95 6,,CENTURYLINK INC,PUT,
15671B AJ 0,,CENVEO CORP,NOTE  7.000% 5/1,
156773 10 3,,CERES INC,COM,
156782 10 4,*,CERNER CORP,COM,
156782 90 4,,CERNER CORP,CALL,
156782 95 4,,CERNER CORP,PUT,
15708Q 10 5,,CERULEAN PHARMA INC,COM,
157085 10 1,*,CERUS CORP,COM,
157085 90 1,,CERUS CORP,CALL,
157085 95 1,,CERUS CORP,PUT,
157131 10 3,,CESCA THERAPEUTICS INC,COM,
157210 10 5,*,CEVA INC,COM,
157210 90 5,,CEVA INC,CALL,
157210 95 5,,CEVA INC,PUT,
157842 10 5,*,CHAMBERS STR PPTYS,COM,
157842 90 5,,CHAMBERS STR PPTYS,CALL,
157842 95 5,,CHAMBERS STR PPTYS,PUT,
15911M 10 7,*,CHANGYOU COM LTD,ADS REP CL A,
15911M 90 7,,CHANGYOU COM LTD,CALL,
15911M 95 7,,CHANGYOU COM LTD,PUT,
159179 10 0,*,CHANNELADVISOR CORP,COM,
159179 90 0,,CHANNELADVISOR CORP,CALL,
159179 95 0,,CHANNELADVISOR CORP,PUT,
15930P 13 1,,CHANTICLEER HLDGS INC,*W EXP 06/11/201,
15930P 40 4,,CHANTICLEER HLDGS INC,COM PAR $.0001 N,
159765 10 6,*,CHARLES & COLVARD LTD,COM,
159765 90 6,,CHARLES & COLVARD LTD,CALL,
159765 95 6,,CHARLES & COLVARD LTD,PUT,
159864 10 7,*,CHARLES RIV LABS INTL INC,COM,
159864 90 7,,CHARLES RIV LABS INTL INC,CALL,
159864 95 7,,CHARLES RIV LABS INTL INC,PUT,
16112R 10 1,,CHARM COMMUNICATIONS INC,ADR SHS CL A,DELETED
16115Q AC 4,,CHART INDS INC,NOTE  2.000% 8/0,
16115Q 30 8,*,CHART INDS INC,COM PAR $0.01,
16115Q 90 8,,CHART INDS INC,CALL,
16115Q 95 8,,CHART INDS INC,PUT,
161151 10 5,,CHART ACQUISITION CORP,COM,
161151 11 3,,CHART ACQUISITION CORP,*W EXP 12/19/201,
161151 20 4,,CHART ACQUISITION CORP,UNIT 99/99/9999,
16117M 30 5,*,CHARTER COMMUNICATIONS INC D,CL A NEW,
16117M 90 5,,CHARTER COMMUNICATIONS INC D,CALL,
16117M 95 5,,CHARTER COMMUNICATIONS INC D,PUT,
16122W 10 8,,CHARTER FINL CORP MD,COM,
16150R 10 4,,CHASE CORP,COM,
16208T 10 2,*,CHATHAM LODGING TR,COM,
16208T 90 2,,CHATHAM LODGING TR,CALL,
16208T 95 2,,CHATHAM LODGING TR,PUT,
162825 10 3,*,CHECKPOINT SYS INC,COM,
162825 90 3,,CHECKPOINT SYS INC,CALL,
162825 95 3,,CHECKPOINT SYS INC,PUT,
163072 10 1,*,CHEESECAKE FACTORY INC,COM,
163072 90 1,,CHEESECAKE FACTORY INC,CALL,
163072 95 1,,CHEESECAKE FACTORY INC,PUT,
163075 10 4,,CHEETAH MOBILE INC,ADR,
163086 10 1,*,CHEFS WHSE INC,COM,
163086 90 1,,CHEFS WHSE INC,CALL,
163086 95 1,,CHEFS WHSE INC,PUT,
163092 10 9,*,CHEGG INC,COM,
163092 90 9,,CHEGG INC,CALL,
163092 95 9,,CHEGG INC,PUT,
163428 10 5,*,CHELSEA THERAPEUTICS INTL LT,COM,DELETED
163428 90 5,,CHELSEA THERAPEUTICS INTL LT,CALL,DELETED
163428 95 5,,CHELSEA THERAPEUTICS INTL LT,PUT,DELETED
163572 20 9,,CHEMBIO DIAGNOSTICS INC,COM NEW,
